total dirs files folder_names file_names fo_and_fi_names repo_name
21 0.33 0.67 "browse build demos docs join lib texts " ".babelrc .esformatter .eslintrc .gitignore Gruntfile.js LICENSE.txt README.md colors.js favicon.ico github_icon.jpg home.jsx index.html package.json webpack.config.js " ".babelrc .esformatter .eslintrc .gitignore Gruntfile.js LICENSE.txt README.md browse build colors.js demos docs favicon.ico github_icon.jpg home.jsx index.html join lib package.json texts webpack.config.js " nlp-compromise_website
3 0.33 0.67 "docs " "LICENSE README.md " "LICENSE README.md docs " FIRHQ_flow
11 0.09 0.91 "source " ".gitignore .travis.yml Dockerfile Gemfile Gemfile.lock LICENSE README.md Rakefile config.rb meta.json " ".gitignore .travis.yml Dockerfile Gemfile Gemfile.lock LICENSE README.md Rakefile config.rb meta.json source " nasa_api-docs
4 0.25 0.75 "chapters " "CONTRIBUTING.md README.md glossario.md " "CONTRIBUTING.md README.md chapters glossario.md " IonicBrazil_ionic2-docs
9 0.00 1.00 "" ".gitignore .jscsrc .jshintrc Documentation.html LICENSE.md README.md Tests.gs.js Wikipedia.gs.js screenshot.png " ".gitignore .jscsrc .jshintrc Documentation.html LICENSE.md README.md Tests.gs.js Wikipedia.gs.js screenshot.png " tomayac_wikipedia-tools-for-google-spreadsheets
53 0.00 1.00 "" "artisan.md authentication.md authorization.md blade.md cache.md collections.md configuration.md container.md contracts.md contributing.md contributions.md controllers.md database.md documentation.md elixir.md eloquent-collections.md eloquent-mutators.md eloquent-relationships.md eloquent-serialization.md eloquent.md encryption.md envoy.md errors.md events.md facades.md filesystem.md hashing.md helpers.md homestead.md installation.md license.md lifecycle.md localization.md mail.md middleware.md migrations.md packages.md pagination.md providers.md queries.md queues.md quickstart-intermediate.md quickstart.md readme.md redis.md requests.md routing.md scheduling.md seeding.md session.md structure.md valet.md views.md " "artisan.md authentication.md authorization.md blade.md cache.md collections.md configuration.md container.md contracts.md contributing.md contributions.md controllers.md database.md documentation.md elixir.md eloquent-collections.md eloquent-mutators.md eloquent-relationships.md eloquent-serialization.md eloquent.md encryption.md envoy.md errors.md events.md facades.md filesystem.md hashing.md helpers.md homestead.md installation.md license.md lifecycle.md localization.md mail.md middleware.md migrations.md packages.md pagination.md providers.md queries.md queues.md quickstart-intermediate.md quickstart.md readme.md redis.md requests.md routing.md scheduling.md seeding.md session.md structure.md valet.md views.md " petehouston_laravel-docs-vn
8 0.50 0.50 "markdown pdf resources src " ".gitignore Makefile README.md gen_doc.php " ".gitignore Makefile README.md gen_doc.php markdown pdf resources src " ideawu_ssdb-docs
4 0.50 0.50 "DeviceTree Eagle " "gettingstarted.rst readme.rst " "DeviceTree Eagle gettingstarted.rst readme.rst " WirelessThings_OpenPi
40 0.75 0.25 "_docs_badges _docs_bitbucket _docs_broker _docs_ci _docs_faqs _docs_github _docs_landing _docs_nodejs _docs_orgs _docs_quick-start _docs_ruby _docs_security _docs_slack-integration _docs_using-snyk _includes _layouts badges bitbucket broker ci faqs github landing nodejs orgs quick-start ruby security slack-integration using-snyk " ".gitignore Gemfile Gemfile.lock LICENSE README.md _config.yml favicon.png feed.json github-integration.md index.html " ".gitignore Gemfile Gemfile.lock LICENSE README.md _config.yml _docs_badges _docs_bitbucket _docs_broker _docs_ci _docs_faqs _docs_github _docs_landing _docs_nodejs _docs_orgs _docs_quick-start _docs_ruby _docs_security _docs_slack-integration _docs_using-snyk _includes _layouts badges bitbucket broker ci faqs favicon.png feed.json github-integration.md github index.html landing nodejs orgs quick-start ruby security slack-integration using-snyk " Snyk_docs
12 0.50 0.50 "conf css deploy images js pages " ".gitignore Gemfile Gemfile.lock README.md Rakefile _Layout.html " ".gitignore Gemfile Gemfile.lock README.md Rakefile _Layout.html conf css deploy images js pages " engineyard_ey-docs
20 0.35 0.65 "_concepts _includes _layouts _tutorial code public start " ".gitignore 404.html CLA.md CNAME CONTRIBUTING.md CopyrightNotice.md LICENSE.txt README.md _config.yml atom.xml concepts.md index.md tutorial.md " ".gitignore 404.html CLA.md CNAME CONTRIBUTING.md CopyrightNotice.md LICENSE.txt README.md _concepts _config.yml _includes _layouts _tutorial atom.xml code concepts.md index.md public start tutorial.md " argonjs_docs
2 0.50 0.50 "images " "README.md " "README.md images " VoiceCode_docs
6 0.17 0.83 "rtd " ".gitignore LICENSE NOTICE README.rst settx.sh " ".gitignore LICENSE NOTICE README.rst rtd settx.sh " apache_cloudstack-docs
21 0.48 0.52 "_includes _layouts _wiki-orphans css dotnet-api http-api introduction js samples server " ".gitignore 404.html CNAME Gemfile README.md _config.yml apple-touch-icon.png docs.sublime-project favicon.ico index.md search.md " ".gitignore 404.html CNAME Gemfile README.md _config.yml _includes _layouts _wiki-orphans apple-touch-icon.png css docs.sublime-project dotnet-api favicon.ico http-api index.md introduction js samples search.md server " EventStore_docs
8 0.00 1.00 "" ".arcconfig .gitignore README.md apiary.apib claimsapi2.apib fileuploadservice.apib signifydpartnerapi.apib signifydscoringservice.apib " ".arcconfig .gitignore README.md apiary.apib claimsapi2.apib fileuploadservice.apib signifydpartnerapi.apib signifydscoringservice.apib " signifyd_docs
2 0.50 0.50 "docs " "README.md " "README.md docs " delongw_beautifulsoup
14 0.21 0.79 "foreword module themes " ".editorconfig .gitignore FACETED_SEARCH.md Makefile README.md architecture.md conf.py index.rst make.bat modules-status.rst nginx.rst " ".editorconfig .gitignore FACETED_SEARCH.md Makefile README.md architecture.md conf.py foreword index.rst make.bat module modules-status.rst nginx.rst themes " PrestaShop_docs
8 0.12 0.88 "examples " "README.txt keywords.txt library.json psc05.h x10.cpp x10.h x10constants.h " "README.txt examples keywords.txt library.json psc05.h x10.cpp x10.h x10constants.h " DougC_arduino-x10
33 0.97 0.03 "arc asmjs ats clean coq erlang gc generalization haskell hobby iterm2hack match mddocs newml ocaml odoctest ounit peg pi pp_ast presentation printer prolog rst scala sstp thih traittable typeclass typetheory xxml yacc " "README.md " "README.md arc asmjs ats clean coq erlang gc generalization haskell hobby iterm2hack match mddocs newml ocaml odoctest ounit peg pi pp_ast presentation printer prolog rst scala sstp thih traittable typeclass typetheory xxml yacc " hsk_docs
14 0.14 0.86 "gradle src " ".gitignore .travis.yml FabricView.iml LICENSE README.md build.gradle gradlew gradlew.bat index.html inputview.iml params.json proguard-rules.pro " ".gitignore .travis.yml FabricView.iml LICENSE README.md build.gradle gradle gradlew gradlew.bat index.html inputview.iml params.json proguard-rules.pro src " antwankakki_FabricView
10 0.00 1.00 "" ".gitignore .gitmodules README.md configuration.md controllers.md docs installation.md lifecycle.md quick.md routing.md " ".gitignore .gitmodules README.md configuration.md controllers.md docs installation.md lifecycle.md quick.md routing.md " Laranesia_docs
9 0.56 0.44 "_includes _layouts _posts bin css " ".gitignore README.md _config.yml index.md " ".gitignore README.md _config.yml _includes _layouts _posts bin css index.md " bruth_jekyll-docs-template
25 0.52 0.48 "build_seafile client config deploy deploy_pro deploy_windows develop extension faq images maintain overview security " ".gitignore LICENSE.txt README.md SUMMARY.md book.json changelog.md contribution.md cover.jpg cover_small.jpg faq.md overview.md roadmap.md " ".gitignore LICENSE.txt README.md SUMMARY.md book.json build_seafile changelog.md client config contribution.md cover.jpg cover_small.jpg deploy deploy_pro deploy_windows develop extension faq.md faq images maintain overview.md overview roadmap.md security " haiwen_seafile-docs
8 0.38 0.62 ".travis docs scripts " ".travis.yml CHANGELOG.md LICENSE README.md release.md " ".travis.yml .travis CHANGELOG.md LICENSE README.md docs release.md scripts " teracyhq_sphinx-deployment
2 1.00 0.00 "amd-open-gpu-docs intel-gpu-prms " "" "amd-open-gpu-docs intel-gpu-prms " olvaffe_gpu-docs
20 0.30 0.70 "app config public server tests vendor " ".bowerrc .editorconfig .ember-cli .gitignore .jshintrc .travis.yml .watchmanconfig CODE_OF_CONDUCT.md LICENSE README.md bower.json ember-cli-build.js package.json testem.json " ".bowerrc .editorconfig .ember-cli .gitignore .jshintrc .travis.yml .watchmanconfig CODE_OF_CONDUCT.md LICENSE README.md app bower.json config ember-cli-build.js package.json public server testem.json tests vendor " emberjs_api
33 0.64 0.36 "appengine bigquery bigtable blog compute container_engine dataproc datastore dns endpoints error_reporting language logging monitoring pubsub scripts speech storage testing translate vision " ".coveragerc .gitignore .travis.yml CONTRIBUTING.md ISSUE_TEMPLATE.md LICENSE README.md TESTING.md conftest.py favicon.ico nox.py pytest.ini " ".coveragerc .gitignore .travis.yml CONTRIBUTING.md ISSUE_TEMPLATE.md LICENSE README.md TESTING.md appengine bigquery bigtable blog compute conftest.py container_engine dataproc datastore dns endpoints error_reporting favicon.ico language logging monitoring nox.py pubsub pytest.ini scripts speech storage testing translate vision " GoogleCloudPlatform_python-docs-samples
17 0.29 0.71 "demo dist docs ionic src " ".babelrc .editorconfig .gitignore CHANGELOG.md README.md gulpfile.js index.html logo.png package.json qrcode.png webpack.config.js yarn.lock " ".babelrc .editorconfig .gitignore CHANGELOG.md README.md demo dist docs gulpfile.js index.html ionic logo.png package.json qrcode.png src webpack.config.js yarn.lock " wangdahoo_vonic
4 0.50 0.50 "Kinect4Windows2.0 NewTopicTemplates " "LICENSE README.md " "Kinect4Windows2.0 LICENSE NewTopicTemplates README.md " Kinect_Docs
2 1.00 0.00 "tapi webhooks " "" "tapi webhooks " WhereIsMyTransport_docs
9 0.33 0.67 ".vs NuGet.Docs.MarkdownPages NuGet.Docs " ".gitattributes .gitignore License.txt NuGet.Docs.sln NuGet.Docs.sln.DotSettings README.markdown " ".gitattributes .gitignore .vs License.txt NuGet.Docs.MarkdownPages NuGet.Docs.sln NuGet.Docs.sln.DotSettings NuGet.Docs README.markdown " NuGet_NuGetDocs
14 0.57 0.43 "config data docs.gantry.org images localhost pages plugins themes " ".dependencies .editorconfig .gitignore LICENSE README.md hebe.json " ".dependencies .editorconfig .gitignore LICENSE README.md config data docs.gantry.org hebe.json images localhost pages plugins themes " gantry_docs
25 0.72 0.28 "core-language design dsldi14 dsldi16 ecoop14 ecoop15sub guide iwaco14 nool16 plas14 reflection sac15 sac15sub spec tooldoc type_members typeinference vm " ".gitignore README.md architectural-control-applications.txt background-reading.txt ecoop14.zip new-person-projects.txt wyvern-paper-plans.txt " ".gitignore README.md architectural-control-applications.txt background-reading.txt core-language design dsldi14 dsldi16 ecoop14.zip ecoop14 ecoop15sub guide iwaco14 new-person-projects.txt nool16 plas14 reflection sac15 sac15sub spec tooldoc type_members typeinference vm wyvern-paper-plans.txt " wyvernlang_docs
11 0.73 0.27 "1_hello_world 2_function_arguments 3_callbacks 4_object_factory 5_function_factory 6_object_wrap 7_factory_wrap 8_passing_wrapped " ".gitignore README.md original_docs_source.md " ".gitignore 1_hello_world 2_function_arguments 3_callbacks 4_object_factory 5_function_factory 6_object_wrap 7_factory_wrap 8_passing_wrapped README.md original_docs_source.md " nodejs_node-addon-examples
26 0.12 0.88 "_includes _layouts static " ".gitignore .ruby-version 404.html CNAME Gemfile Gemfile.lock Makefile NOTES.md README.md Rakefile _config.yml amahi-7-express.md amahi-8.md amahi-9.md fedora-14.md index.md license.md releases.md requirements.md support.md travis.yml troubleshooting.md ubuntu-12.md " ".gitignore .ruby-version 404.html CNAME Gemfile Gemfile.lock Makefile NOTES.md README.md Rakefile _config.yml _includes _layouts amahi-7-express.md amahi-8.md amahi-9.md fedora-14.md index.md license.md releases.md requirements.md static support.md travis.yml troubleshooting.md ubuntu-12.md " amahi_docs
4 0.50 0.50 "en-US zh-CN " ".gitignore README.md " ".gitignore README.md en-US zh-CN " gopherchina_docs
7 0.29 0.71 "assets content " ".gitignore README.md contributors.txt favicon.ico license " ".gitignore README.md assets content contributors.txt favicon.ico license " Contrast-Security-OSS_docs
5 0.40 0.60 "docs problem_examples " "README.md mkdocs.yml sample_judge_conf.yml " "README.md docs mkdocs.yml problem_examples sample_judge_conf.yml " DMOJ_docs
10 0.20 0.80 "drivers guides " ".gitignore .travis.yml Makefile README.md at-a-glance.rst conf.py contributing.rst index.rst " ".gitignore .travis.yml Makefile README.md at-a-glance.rst conf.py contributing.rst drivers guides index.rst " minkphp_docs
4 0.50 0.50 "api protocol " "LICENSE README.md " "LICENSE README.md api protocol " OpenBazaar_docs
6 0.67 0.33 "notebooks posters presentations workshops " ".gitignore README.md " ".gitignore README.md notebooks posters presentations workshops " obspy_docs
5 0.20 0.80 "docs " "LICENSE.md README.md post-commit process-rel-links.js " "LICENSE.md README.md docs post-commit process-rel-links.js " CoryG89_docsync
7 0.57 0.43 "24-puzzle genetic-algorithm-for-functional-maximum-problem million-queens neural-networks-for-face-recognition " ".gitignore LICENSE README.md " ".gitignore 24-puzzle LICENSE README.md genetic-algorithm-for-functional-maximum-problem million-queens neural-networks-for-face-recognition " yanshengjia_artificial-intelligence
