total dirs files folder_names file_names fo_and_fi_names repo_name
1 0.00 1.00 "" "README.md " "README.md " MARKRMBC_homework
19 0.89 0.11 "Maryam-Marjoori Tif-tifs alex-alexhollender andres-andresjv ariel-velasco brady-soulrider911 cheng-Cheng dayana-Day-ana eva-et505 francis-fbalanon james-jamestall julian-jharty keith-kjfrancis matt-Dragoris nicole-Borgaard peter-3William56 sasha-svodnik " ".gitignore README.md " ".gitignore Maryam-Marjoori README.md Tif-tifs alex-alexhollender andres-andresjv ariel-velasco brady-soulrider911 cheng-Cheng dayana-Day-ana eva-et505 francis-fbalanon james-jamestall julian-jharty keith-kjfrancis matt-Dragoris nicole-Borgaard peter-3William56 sasha-svodnik " Borgaard_jsd5-homework
1 1.00 0.00 "miaov " "" "miaov " insistcat_Homework
1 0.00 1.00 "" "README.md " "README.md " Grouper_Homework
2 0.00 1.00 "" "README.md index.html " "README.md index.html " AlexKhalaimov_Homework
23 0.87 0.13 "aaron_ong alan_wright andrew_ward ben_grace charles_lee charlotte_hicks christopher_barnaby connie_giannopoulos drew_showalter fernando_lucero josh_bonador mark_harris michael_cooper reena_rajani rodney_sue-san simon_shannon stella_halena toby_flemming vivian_lee warmup_exercises " ".gitignore README.md screenshot.png " ".gitignore README.md aaron_ong alan_wright andrew_ward ben_grace charles_lee charlotte_hicks christopher_barnaby connie_giannopoulos drew_showalter fernando_lucero josh_bonador mark_harris michael_cooper reena_rajani rodney_sue-san screenshot.png simon_shannon stella_halena toby_flemming vivian_lee warmup_exercises " ga-wolf_WDI9_Homework
2 0.00 1.00 "" "README.md calc.rb " "README.md calc.rb " AmalHussein_ga-methods-calculator-homework
15 0.60 0.40 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.rdoc Rakefile app bin config.ru config db lib log public test vendor " estherfang_homework
9 0.22 0.78 "inc lib " "Makefile README.md glwrapper.cpp glwrapper.h hw2.cpp hw2.h main.cpp " "Makefile README.md glwrapper.cpp glwrapper.h hw2.cpp hw2.h inc lib main.cpp " tim37021_CGHW2
1 0.00 1.00 "" "README.md " "README.md " drichee_homework
37 0.84 0.16 "_Aditi_Shekar _Alfie_Umbhau _Alphonso_Morris _Brian_Matheson _Christine_Tadler _Claire_Allison _Corey_Shapiro _Daniel_Barabander _Gabriel_Appleby _Haley_San _Heather_Ball _Jenny_de _Kelly_Lo _Margo_Smith _Matt_Thees _Michael_DiOrio _Michael_Yap _Patrick_Kilcrease _Peter_Naas _Roger_Chan _Sam_Fitzroy _Scott_Harris _Scott_Howard _Steven_Yang _Tim_Stevenson _bernard_kravitz _james_calderon assets final_project helloworld homework " ".DS_Store .gitignore README.md Rakefile another_file_by_mike.rb mike_new_file.rb " ".DS_Store .gitignore README.md Rakefile _Aditi_Shekar _Alfie_Umbhau _Alphonso_Morris _Brian_Matheson _Christine_Tadler _Claire_Allison _Corey_Shapiro _Daniel_Barabander _Gabriel_Appleby _Haley_San _Heather_Ball _Jenny_de _Kelly_Lo _Margo_Smith _Matt_Thees _Michael_DiOrio _Michael_Yap _Patrick_Kilcrease _Peter_Naas _Roger_Chan _Sam_Fitzroy _Scott_Harris _Scott_Howard _Steven_Yang _Tim_Stevenson _bernard_kravitz _james_calderon another_file_by_mike.rb assets final_project helloworld homework mike_new_file.rb " ga-students_bewd_11_nyc_homework
5 0.60 0.40 ".settings bin src " ".classpath .project " ".classpath .project .settings bin src " ivsim_HOMEWORK
6 1.00 0.00 "accordion v2 accordion tabs v2 tabs tree v2 tree " "" "accordion v2 accordion tabs v2 tabs tree v2 tree " tanch1k_homework
13 0.92 0.08 "01Intro 02Installing 03MySQLMonitor 04ModelDesign 05BasicSQL 06DBStructures 07AdvancedQuerying 08DoingMore 09Privileges 10BackupsRecovery 11Options 12ConfigureTune " "README.md " "01Intro 02Installing 03MySQLMonitor 04ModelDesign 05BasicSQL 06DBStructures 07AdvancedQuerying 08DoingMore 09Privileges 10BackupsRecovery 11Options 12ConfigureTune README.md " Sheeri_mysql-marinate
7 0.86 0.14 "JavaHw1 JavaHw2 JavaHw3 NSDA dbms stock " "README.md " "JavaHw1 JavaHw2 JavaHw3 NSDA README.md dbms stock " chitsutote_Homework
2 0.50 0.50 "0528 " "README.md " "0528 README.md " CNfx_homeworkMay
1 1.00 0.00 "CS5 " "" "CS5 " itscomet_homework
7 0.43 0.57 "nbproject src test " ".gitattributes .gitignore build.xml manifest.mf " ".gitattributes .gitignore build.xml manifest.mf nbproject src test " AravAlexander_homework
0 0.00 0.00 "" "" "" GWLAN_homework
2 1.00 0.00 ".idea HomeWorks " "" ".idea HomeWorks " VitiazOlha_HomeWork
1 0.00 1.00 "" "saving.java " "saving.java " napawan410_HomeWork
5 0.20 0.80 "2015-2016 " ".DS_Store .gitignore LICENSE README.md " ".DS_Store .gitignore 2015-2016 LICENSE README.md " elsys_po-homework-2015-1
6 1.00 0.00 "w2 w3 w4 w5 w6 w8 " "" "w2 w3 w4 w5 w6 w8 " lovegari_homework
8 0.75 0.25 "hw0 hw1 hw2 hw3 hw4 hw5 " ".DS_Store README.md " ".DS_Store README.md hw0 hw1 hw2 hw3 hw4 hw5 " dataviscourse_2016-dataviscourse-homework
