all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
1833.00 0.29 0.71 0.73 0.27 21.00 1.14 88.00 0.00 0.31 bolt_docs
131.00 0.18 0.82 0.53 0.47 318.79 0.08 29.00 0.00 0.04 minkphp_docs
300.00 0.10 0.90 0.63 0.37 59.67 0.40 54.00 0.00 0.17 api-platform_docs
296.00 0.03 0.97 0.78 0.22 10.45 2.30 11.00 0.00 0.55 TheThingsNetwork_docs
277.00 0.09 0.91 0.08 0.92 38.14 0.63 28.00 0.00 0.26 buildkite_docs
6.00 0.00 1.00 0.17 0.83 95.64 0.30 3.00 0.00 0.10 igorman_data-engineering
414.00 0.18 0.82 0.52 0.48 75.88 0.32 45.00 0.00 0.05 SeleniumHQ_docs
1815.00 0.23 0.77 0.15 0.85 7.94 3.02 163.00 0.00 0.45 openaps_docs
1534.00 0.10 0.90 0.26 0.74 20.28 1.18 30.00 0.00 0.34 ouya_docs
91.00 0.16 0.84 0.31 0.69 53.40 0.45 5.00 0.00 0.21 mint-ui_docs
12.00 0.75 0.25 0.67 0.33 3870.31 0.01 3.00 0.00 0.00 hyde_docs
2760.00 0.06 0.94 0.40 0.60 23.70 1.01 198.00 0.00 0.32 apache_cordova-docs
407.00 0.06 0.94 0.08 0.92 8.75 2.75 16.00 0.00 0.46 witheve_docs
136.00 0.34 0.66 0.78 0.22 78.72 0.31 17.00 0.00 0.08 monzo_docs
815.00 0.06 0.94 0.24 0.76 12.11 1.98 57.00 0.00 0.39 Polymer_docs
1380.00 0.06 0.94 0.32 0.68 16.19 1.48 40.00 0.00 0.43 googledatalab_datalab
1233.00 0.06 0.94 0.74 0.26 17.54 1.37 106.00 0.00 0.41 NativeScript_docs
137.00 0.21 0.79 0.85 0.15 151.43 0.16 11.00 0.00 0.10 Intervention_docs
1297.00 0.07 0.93 0.34 0.66 8.29 2.90 136.00 0.00 0.60 cloudfoundry-attic_cf-docs
957.00 0.32 0.68 0.18 0.82 32.67 0.74 22.00 0.00 0.10 lfe_docs
526.00 0.05 0.95 0.33 0.67 95.83 0.25 41.00 0.00 0.12 mozilla-services_docs
1567.00 0.09 0.91 0.35 0.65 9.09 2.64 170.00 0.00 0.53 dotnet_docs
389.00 0.21 0.79 0.48 0.52 30.73 0.78 16.00 0.00 0.20 project-fifo_docs
1633.00 0.05 0.95 0.87 0.13 9.14 2.63 35.00 0.00 0.45 biicode_docs
83.00 0.05 0.95 0.75 0.25 41.02 0.59 2.00 0.00 0.14 ianozsvald_data_science_delivered
